Log,Attack Type
1291  294.831790    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    2826  80 â†’ 1255 [ACK] Seq=227305 Ack=246 Win=6432 Len=2772,DNS Fast-Flux
1079  294.454854    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=88705 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
 255  200.687913    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      72  Standard query 0xec47 A nocomcom.com,DNS Fast-Flux
 125  166.711152    147.32.84.165       94.63.149.152       eth:ethertype:ip:tcp      60  [TCP Dup ACK 124#1] 1042 â†’ 80 [ACK] Seq=91 Ack=16061 Win=64240 Len=0,DNS Fast-Flux
1928  353.527748    147.32.84.165       65.54.188.78        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1340 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
" 252  200.368598    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  [TCP Retransmission] 1046 â†’ 80 [FIN, ACK] Seq=302 Ack=8420 Win=64620 Len=0",DNS Fast-Flux
 586  227.747206    147.32.84.165       200.104.20.184      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1059 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1569  311.684926    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  [TCP Dup ACK 1568#1] 1301 â†’ 80 [ACK] Seq=471 Ack=249 Win=64373 Len=0,DNS Fast-Flux
 825  291.115150    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1256 [ACK] Seq=10977 Ack=185 Win=6432 Len=2744,DNS Fast-Flux
 508  216.590443    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=115249 Win=38416 Len=0,DNS Fast-Flux
 890  291.613758    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1256 [ACK] Seq=58997 Ack=185 Win=6432 Len=2744,DNS Fast-Flux
  71  161.537690    147.32.84.165       94.63.149.150       eth:ethertype:ip:tcp      62  1041 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1609  326.488803    147.32.84.165       194.25.134.8        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1303 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1533  305.559442    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1288 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 248  200.080552    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  [TCP Dup ACK 247#1] 1046 â†’ 80 [ACK] Seq=302 Ack=8101 Win=63270 Len=0,DNS Fast-Flux
1451  296.611161    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  1273 â†’ 80 [ACK] Seq=468 Ack=249 Win=64373 Len=0,DNS Fast-Flux
 213  198.480940    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1044 â†’ 80 [ACK] Seq=86 Ack=32929 Win=64484 Len=0,DNS Fast-Flux
 910  291.778325    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1256 [ACK] Seq=75461 Ack=185 Win=6432 Len=1372,DNS Fast-Flux
1742  341.731907    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      87  Standard query 0x4565 A 982722360.pamx1.hotmail.com,DNS Fast-Flux
1245  294.715112    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=199585 Win=64440 Len=0,DNS Fast-Flux
1697  341.511164    147.32.84.165       216.77.188.73       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1321 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1183  294.682483    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=163549 Win=50580 Len=0,DNS Fast-Flux
 362  214.752871    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1050 [ACK] Seq=5489 Ack=184 Win=6432 Len=1372,DNS Fast-Flux
1474  296.711808    147.32.84.165       204.127.217.16      eth:ethertype:ip:tcp      62  1292 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 679  266.302841    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      62  1204 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1622  331.796613    147.32.84.165       64.136.52.37        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1312 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1090  294.565641    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=97021 Win=64440 Len=0,DNS Fast-Flux
1988  358.835421    147.32.84.165       61.17.216.26        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1353 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1848  342.317991    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0xbf0d A c.mx.mail.yahoo.com,DNS Fast-Flux
 988  294.206892    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 987#1] 1255 â†’ 80 [ACK] Seq=246 Ack=26335 Win=64440 Len=0,DNS Fast-Flux
1513  299.550729    147.32.84.165       65.55.92.184        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1288 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 112  166.674455    94.63.149.152       147.32.84.165       eth:ethertype:ip:tcp    5894  80 â†’ 1042 [ACK] Seq=4381 Ack=91 Win=5840 Len=5840,DNS Fast-Flux
1488  297.146985    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      69  Standard query 0xeab2 A greed.com,DNS Fast-Flux
"1454  296.611778    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  [TCP Retransmission] 1273 â†’ 80 [FIN, ACK] Seq=468 Ack=249 Win=64373 Len=0",DNS Fast-Flux
 384  215.081600    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 383#1] 1050 â†’ 80 [ACK] Seq=184 Ack=20581 Win=61740 Len=0,DNS Fast-Flux
1396  296.428118    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      75  Standard query 0xfb5b A mx3.hotmail.com,DNS Fast-Flux
1055  294.450210    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=72073 Win=61668 Len=0,DNS Fast-Flux
 756  275.315510    147.32.84.165       209.236.119.101     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1075 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 325  203.095474    94.63.150.63        147.32.84.165       eth:ethertype:ip:tcp:http:data-text-lines     301  HTTP/1.1 200 OK  (text/html),DNS Fast-Flux
1624  332.497559    147.32.84.165       202.109.187.132     eth:ethertype:ip:tcp      62  1325 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
" 788  290.438280    195.113.232.98      147.32.84.165       eth:ethertype:ip:tcp      62  80 â†’ 1258 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM",DNS Fast-Flux
 369  214.915306    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=10977 Win=64484 Len=0,DNS Fast-Flux
1820  342.251376    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x027a A n.mx.mail.yahoo.com,DNS Fast-Flux
  70  161.537194    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     155  Standard query response 0x7649 A jot.tasb.ru A 94.63.149.150 A 60.190.222.139 A 83.133.119.196 NS ns1.tasb.ru NS ns2.tasb.ru,DNS Fast-Flux
 858  291.445554    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 857#1] 1256 â†’ 80 [ACK] Seq=185 Ack=35673 Win=50408 Len=0,DNS Fast-Flux
1484  297.113892    147.32.84.165       216.104.161.4       eth:ethertype:ip:tcp      62  1294 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1556  311.467281    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      62  1301 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1692  341.511027    147.32.84.165       65.54.188.126       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1318 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1475  296.711814    147.32.84.165       204.127.217.16      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1292 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1799  342.208129    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0xe07c A l.mx.mail.yahoo.com,DNS Fast-Flux
 479  215.748924    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 478#1] 1050 â†’ 80 [ACK] Seq=184 Ack=94669 Win=12348 Len=0,DNS Fast-Flux
 282  201.450855    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1047 [ACK] Seq=10977 Ack=188 Win=6432 Len=2744,DNS Fast-Flux
1648  338.506418    147.32.84.165       65.54.188.126       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1316 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1557  311.467292    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1301 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1730  341.652387    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x6b6b A g.mx.mail.yahoo.com,DNS Fast-Flux
 211  198.480311    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 210#1] 1044 â†’ 80 [ACK] Seq=86 Ack=31557 Win=64484 Len=0,DNS Fast-Flux
 298  201.642492    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 297#1] 1047 â†’ 80 [ACK] Seq=188 Ack=23325 Win=58996 Len=0,DNS Fast-Flux
1885  342.387570    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      69  Standard query 0x9d81 A yahoo.com,DNS Fast-Flux
1834  342.292973    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0x5674 A o.mx.mail.yahoo.com A 66.94.237.139 NS ns1.yahoo.com NS ns4.yahoo.com NS ns6.yahoo.com NS ns3.yahoo.com NS ns2.yahoo.com NS ns8.yahoo.com NS ns5.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
 652  248.476667    147.32.84.165       117.198.86.115      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1071 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1234  294.708542    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1231#2] 1255 â†’ 80 [ACK] Seq=246 Ack=192655 Win=61462 Len=0,DNS Fast-Flux
1503  297.641857    147.32.84.165       64.136.44.37        eth:ethertype:ip:tcp      62  [TCP Retransmission] 1298 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1932  353.527958    147.32.84.165       198.170.192.25      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1345 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 917  291.779018    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1256 [ACK] Seq=79577 Ack=185 Win=6432 Len=2744,DNS Fast-Flux
 994  294.207531    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 993#1] 1255 â†’ 80 [ACK] Seq=246 Ack=30493 Win=64440 Len=0,DNS Fast-Flux
 430  215.411233    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=57625 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
1371  296.350730    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      75  Standard query 0xf642 A mx4.hotmail.com,DNS Fast-Flux
 240  199.974277    147.32.84.165       94.63.150.63        eth:ethertype:ip:tcp      60  1046 â†’ 80 [ACK] Seq=302 Ack=4051 Win=63270 Len=0,DNS Fast-Flux
 880  291.612284    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1256 [ACK] Seq=52137 Ack=185 Win=6432 Len=1372,DNS Fast-Flux
 621  245.571582                                            eth:ethertype:arp      60  147.32.84.165 is at 08:00:27:b5:b7:19,DNS Fast-Flux
 257  200.689118    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      62  1047 â†’ 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
" 612  245.479087    94.63.150.63        147.32.84.165       eth:ethertype:ip:tcp      62  80 â†’ 1101 [SYN, ACK] Seq=0 Ack=1 Win=5744 Len=0 MSS=1436 SACK_PERM",DNS Fast-Flux
" 545  220.688002    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [FIN, ACK] Seq=184 Ack=121186 Win=64484 Len=0",DNS Fast-Flux
 772  280.312931    147.32.84.165       147.32.84.255       eth:ethertype:ip:udp:nbns      92  Name query NB WPAD<00>,DNS Fast-Flux
1420  296.495540    147.32.84.165       194.25.134.73       eth:ethertype:ip:tcp      62  1280 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1042  294.447703    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1041#1] 1255 â†’ 80 [ACK] Seq=246 Ack=60985 Win=64440 Len=0,DNS Fast-Flux
1790  342.198229    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0x6a63 A f.mx.mail.yahoo.com A 98.137.54.237 NS ns4.yahoo.com NS ns5.yahoo.com NS ns6.yahoo.com NS ns3.yahoo.com NS ns8.yahoo.com NS ns1.yahoo.com NS ns2.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
 760  275.315605    147.32.84.165       210.212.249.136     eth:ethertype:ip:tcp      62  [TCP Retransmission] 1078 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 383  215.081594    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1050 â†’ 80 [ACK] Seq=184 Ack=20581 Win=61740 Len=0,DNS Fast-Flux
1104  294.566971    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=105337 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
 974  294.072799    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=16633 Win=63054 Len=0,DNS Fast-Flux
" 353  214.432004    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp     237  [TCP Retransmission] 1050 â†’ 80 [PSH, ACK] Seq=1 Ack=1 Win=64484 Len=183",DNS Fast-Flux
1606  326.044276    147.32.84.165       72.167.238.201      eth:ethertype:ip:tcp      62  1311 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1826  342.274730    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0xac75 A n.mx.mail.yahoo.com A 98.139.175.224 NS ns3.yahoo.com NS ns8.yahoo.com NS ns2.yahoo.com NS ns5.yahoo.com NS ns1.yahoo.com NS ns6.yahoo.com NS ns4.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
1037  294.438849    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=58213 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
1108  294.567551    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    2826  80 â†’ 1255 [ACK] Seq=108109 Ack=246 Win=6432 Len=2772,DNS Fast-Flux
 495  216.431455    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Window Update] 1050 â†’ 80 [ACK] Seq=184 Ack=107017 Win=46648 Len=0,DNS Fast-Flux
 394  215.243289    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=27441 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
1547  306.059727    147.32.84.165       216.104.161.4       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1294 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 465  215.574365    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1050 [ACK] Seq=85065 Ack=184 Win=6432 Len=2744,DNS Fast-Flux
 887  291.613115    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1256 â†’ 80 [ACK] Seq=185 Ack=57625 Win=32216 Len=0,DNS Fast-Flux
1194  294.696213    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1193#1] 1255 â†’ 80 [ACK] Seq=246 Ack=167707 Win=63054 Len=0,DNS Fast-Flux
 367  214.914969    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 366#1] 1050 â†’ 80 [ACK] Seq=184 Ack=8233 Win=64484 Len=0,DNS Fast-Flux
1894  342.593215    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     247  Standard query response 0x5e01 A mailin-01.mx.aol.com A 64.12.90.98 A 205.188.59.194 A 205.188.146.193 A 205.188.159.42 A 64.12.90.1 NS dns-06.ns.aol.com NS dns-07.ns.aol.com NS dns-02.ns.aol.com NS dns-01.ns.aol.com,DNS Fast-Flux
1874  342.361633    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x9d07 A e.mx.mail.yahoo.com,DNS Fast-Flux
 745  269.407572    147.32.84.165       86.126.237.212      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1082 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 530  218.790211    147.32.84.165       117.204.73.246      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1055 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 803  290.615611    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp:http     238  GET /bl/client.exe?t=0.1369593 HTTP/1.0 ,DNS Fast-Flux
